age,gender,weight_kg,bmi,calories,protein_ratio,water_liters,workout_minutes,workout_days,workout_intensity,fitness_score
23,Male,46.1,23.7,2769.0,0.27,3.3,67,6,2,94.2
59,Male,81.8,24.3,2962.0,0.39,2.4,73,1,2,78.8
21,Male,90.7,21.0,2347.0,0.11,2.7,54,4,3,100.0
46,Male,82.8,19.7,2129.0,0.32,3.3,82,4,1,99.7
35,Male,34.6,23.1,2247.0,0.34,3.3,35,2,2,89.5
43,Male,74.5,26.6,2300.0,0.12,2.6,61,5,2,85.3
61,Female,65.3,20.4,2640.0,0.27,2.9,38,1,1,67.3
51,Male,59.2,23.2,1835.0,0.34,3.8,40,5,2,95.0
27,Female,71.2,29.4,2558.0,0.27,3.1,59,2,2,78.8
53,Female,68.5,21.9,1772.0,0.12,3.1,85,3,3,99.6
31,Female,75.1,24.0,2056.0,0.31,3.5,65,1,2,90.5
48,Male,70.6,23.6,2199.0,0.12,1.8,58,5,2,86.2
32,Female,58.8,23.2,2323.0,0.35,2.8,39,4,1,80.1
25,Female,64.2,30.7,2199.0,0.11,3.9,18,4,1,77.7
31,Male,62.6,25.2,2253.0,0.14,2.4,54,3,1,82.6
40,Male,52.8,17.7,2212.0,0.18,2.2,45,5,1,76.2
57,Female,56.3,30.1,1744.0,0.29,3.0,3,5,3,69.1
38,Male,67.9,25.1,2373.0,0.39,2.1,82,0,1,71.1
33,Male,84.2,22.5,2443.0,0.14,2.9,61,2,3,89.7
62,Male,64.6,29.4,2603.0,0.14,1.9,24,4,3,67.2
35,Male,62.4,20.9,2754.0,0.21,2.9,62,5,2,100.0
64,Female,58.2,30.9,2323.0,0.35,3.0,69,6,3,86.3
41,Male,70.3,24.4,2623.0,0.24,2.5,12,1,3,77.2
43,Male,81.8,28.0,2205.0,0.2,2.5,85,5,2,92.3
42,Male,90.0,36.3,1765.0,0.27,2.1,3,1,2,34.7
62,Female,72.9,24.7,2488.0,0.18,2.3,1,6,3,85.9
58,Female,71.4,23.6,2422.0,0.22,2.7,66,1,3,75.6
46,Male,64.6,19.7,2200.0,0.2,2.1,29,3,1,71.8
32,Male,66.2,23.5,2181.0,0.34,3.5,3,6,2,96.3
62,Female,76.3,19.9,2343.0,0.38,3.3,47,0,2,83.9
18,Male,66.9,23.3,2099.0,0.33,2.2,42,2,2,91.3
42,Male,68.4,35.6,2333.0,0.23,1.7,44,1,2,47.0
24,Female,69.7,24.5,1923.0,0.25,1.5,12,1,2,70.4
26,Male,64.1,21.8,1957.0,0.14,3.0,46,4,1,91.8
41,Male,69.3,23.2,1804.0,0.32,2.0,27,0,2,73.6
18,Female,49.8,22.4,2873.0,0.28,1.5,36,4,2,95.8
61,Female,75.5,28.2,2222.0,0.37,2.4,27,3,2,67.0
25,Male,93.5,23.6,2562.0,0.16,3.9,26,3,2,94.8
41,Female,64.5,30.4,1871.0,0.33,3.2,88,2,1,63.0
28,Male,73.7,22.7,2145.0,0.31,3.6,29,6,2,100.0
34,Male,78.5,23.0,2365.0,0.18,1.9,5,3,2,79.0
25,Male,82.8,20.4,2641.0,0.3,1.7,8,6,2,96.2
52,Female,67.4,22.5,2019.0,0.38,1.5,5,2,2,59.6
52,Female,52.0,17.1,2079.0,0.38,3.9,28,4,3,92.6
50,Male,72.7,15.5,1962.0,0.32,2.3,86,1,1,67.0
22,Male,71.3,26.5,2164.0,0.11,2.6,69,1,1,80.2
59,Female,66.5,17.0,1894.0,0.36,2.5,85,6,2,90.8
56,Female,68.7,25.6,1769.0,0.3,3.3,65,0,2,68.2
58,Female,71.4,22.0,2278.0,0.19,2.3,52,3,2,82.8
45,Male,73.6,27.8,2401.0,0.16,2.8,69,0,1,62.4
24,Female,73.2,17.1,1858.0,0.13,4.0,4,0,2,53.9
26,Female,67.8,26.4,1998.0,0.12,2.6,19,1,2,64.2
25,Male,73.8,25.3,2170.0,0.33,2.9,11,3,2,83.8
29,Male,67.1,25.5,2712.0,0.17,2.8,7,1,3,72.9
51,Male,76.4,28.5,1350.0,0.11,3.5,57,6,2,78.6
50,Female,63.7,24.3,2333.0,0.22,2.2,48,5,2,84.5
40,Male,70.7,14.2,2404.0,0.24,1.9,63,0,1,62.1
41,Male,53.8,25.8,1986.0,0.15,3.4,49,3,3,82.5
54,Male,66.3,25.3,2095.0,0.11,2.5,38,5,2,90.5
52,Male,75.7,23.0,2300.0,0.16,3.8,39,5,2,100.0
61,Female,59.7,20.6,2191.0,0.3,3.1,30,5,2,89.3
57,Male,66.8,22.6,2710.0,0.12,2.9,2,6,1,78.3
39,Female,45.9,29.8,2231.0,0.27,1.7,82,1,2,70.6
44,Female,56.3,20.3,2458.0,0.14,3.3,71,2,3,88.2
52,Female,58.9,17.0,2335.0,0.16,3.2,29,5,2,84.3
18,Male,71.0,18.1,2408.0,0.22,3.1,28,2,2,89.1
52,Female,73.3,23.9,1967.0,0.13,2.2,69,4,1,80.4
54,Male,69.4,30.7,2260.0,0.15,3.9,55,4,3,90.4
64,Male,66.2,32.8,2180.0,0.2,2.3,65,3,3,72.6
31,Male,66.2,26.6,1985.0,0.2,1.9,86,4,2,91.6
20,Female,77.2,20.1,2478.0,0.32,4.0,62,6,2,100.0
18,Male,72.1,20.5,1595.0,0.12,3.4,29,3,1,89.8
22,Male,66.7,27.5,2604.0,0.36,2.5,52,0,1,77.3
43,Male,82.9,29.3,1534.0,0.34,3.8,45,2,2,73.4
31,Female,89.5,21.4,2154.0,0.33,1.7,8,3,2,86.2
56,Female,57.5,29.7,2482.0,0.19,1.7,6,6,2,63.0
44,Female,75.2,23.1,1843.0,0.35,3.2,62,6,2,100.0
26,Male,100.9,26.9,2327.0,0.15,1.9,46,0,2,66.7
32,Female,72.8,28.6,2295.0,0.14,3.8,43,2,3,77.7
32,Male,71.2,18.1,2298.0,0.11,3.6,48,1,1,77.2
43,Male,69.4,25.8,2095.0,0.38,2.3,78,0,2,85.2
59,Female,74.9,29.7,2060.0,0.19,3.7,78,1,1,63.2
30,Male,77.5,21.8,1729.0,0.38,1.6,84,4,2,95.3
49,Female,57.6,19.8,2169.0,0.18,2.9,61,6,2,100.0
56,Male,69.7,26.0,2475.0,0.37,3.8,58,3,1,85.5
49,Female,47.3,24.5,2063.0,0.37,3.6,77,2,1,86.3
21,Male,67.9,22.7,2078.0,0.38,2.4,74,6,2,100.0
47,Male,61.0,24.0,2677.0,0.25,2.0,74,4,1,86.5
54,Male,73.4,17.3,2151.0,0.36,2.0,83,0,1,78.2
40,Male,53.4,25.6,2306.0,0.39,2.8,12,6,1,90.3
56,Male,64.9,30.4,2361.0,0.2,3.0,29,4,1,63.4
62,Female,79.7,21.1,2151.0,0.23,1.6,83,1,2,75.5
32,Male,63.2,20.7,2404.0,0.32,2.5,42,6,2,99.2
60,Female,51.0,24.7,2497.0,0.19,3.6,50,1,3,85.5
46,Female,72.6,35.4,2471.0,0.33,2.6,7,5,2,50.0
53,Female,64.1,28.4,2505.0,0.12,1.9,36,3,3,59.8
30,Male,68.1,23.6,1575.0,0.26,3.9,89,4,1,97.6
49,Male,62.7,24.2,1848.0,0.14,2.2,63,5,1,84.4
24,Male,89.7,28.8,2046.0,0.19,3.5,38,2,3,88.3
39,Female,54.4,20.4,1961.0,0.18,2.0,7,1,2,60.5
45,Male,98.3,26.4,1984.0,0.35,2.6,61,0,2,72.6
19,Male,66.1,19.5,2467.0,0.16,2.7,81,4,3,100.0
59,Female,71.8,27.7,2232.0,0.34,2.8,38,2,2,66.9
62,Female,64.3,22.8,2159.0,0.34,2.8,13,2,3,75.1
23,Female,63.8,24.8,2132.0,0.25,2.1,51,6,1,91.6
45,Female,62.2,22.6,2080.0,0.17,2.8,81,2,3,87.3
45,Female,76.0,26.8,2127.0,0.17,2.7,56,2,2,69.3
61,Female,55.9,23.3,2616.0,0.24,2.0,20,5,2,73.3
61,Male,73.6,32.6,1671.0,0.1,4.0,22,1,2,59.4
37,Female,48.2,29.7,2582.0,0.26,3.7,3,3,1,58.9
47,Male,72.7,18.8,2888.0,0.39,3.7,73,4,2,91.8
28,Male,78.5,24.8,2580.0,0.15,3.2,42,1,2,81.3
45,Male,57.3,26.9,1903.0,0.27,1.9,10,6,2,76.1
42,Female,76.8,22.2,2054.0,0.39,2.9,83,3,2,100.0
56,Male,70.5,28.8,2510.0,0.36,3.6,18,2,2,73.0
50,Female,86.0,28.4,2125.0,0.36,1.6,64,0,2,58.4
18,Female,61.4,23.7,2048.0,0.35,2.7,1,2,2,72.8
44,Male,98.2,27.9,2170.0,0.19,2.5,48,3,1,77.5
30,Female,46.1,14.4,1863.0,0.37,2.0,68,3,2,78.0
58,Male,66.7,29.4,2161.0,0.38,2.4,33,0,2,67.6
20,Male,53.0,27.5,1838.0,0.25,4.0,3,5,3,99.9
56,Female,88.5,19.6,2417.0,0.21,3.3,38,1,2,72.6
23,Male,67.4,25.0,1947.0,0.22,2.2,48,5,3,96.1
25,Male,68.3,15.9,2215.0,0.2,3.0,2,0,1,64.8
44,Male,74.4,20.9,2067.0,0.16,2.1,25,2,1,82.7
26,Female,70.0,28.4,2315.0,0.29,3.0,40,4,2,78.3
54,Male,64.1,23.9,2447.0,0.27,3.7,64,1,2,85.8
50,Female,57.4,23.7,2286.0,0.24,2.9,15,4,2,82.2
59,Female,71.7,24.2,1990.0,0.13,3.3,57,6,2,93.0
61,Male,73.8,23.7,2031.0,0.34,2.6,34,4,2,86.0
41,Male,77.0,27.9,2908.0,0.15,2.8,82,1,2,64.6
32,Female,89.1,21.5,2485.0,0.13,3.2,15,2,1,71.4
49,Female,48.3,25.7,2141.0,0.29,3.5,32,5,3,98.8
49,Male,69.3,19.4,2028.0,0.22,3.1,30,6,2,89.8
41,Male,81.9,27.0,1768.0,0.12,3.9,21,3,3,84.8
58,Female,68.8,22.7,2538.0,0.21,3.5,60,2,2,77.4
29,Female,46.6,23.8,1987.0,0.33,3.4,83,5,2,100.0
56,Female,57.1,22.6,2516.0,0.28,3.6,63,3,3,98.3
19,Female,73.3,23.1,2448.0,0.21,2.2,69,3,3,97.0
20,Female,72.9,20.0,2606.0,0.16,2.6,34,1,3,91.1
54,Male,76.7,25.3,2428.0,0.29,2.9,38,1,2,76.5
34,Female,62.2,26.2,2137.0,0.37,2.7,2,0,1,68.2
19,Female,72.6,18.7,2205.0,0.29,3.6,12,5,2,96.5
19,Male,60.5,21.6,2207.0,0.34,1.6,13,6,2,98.4
45,Male,72.6,24.1,2119.0,0.26,2.0,40,4,3,91.8
40,Female,70.5,21.6,1713.0,0.32,3.7,7,4,2,76.2
54,Female,61.8,23.1,1553.0,0.37,1.6,18,4,1,66.5
49,Male,85.6,30.5,2428.0,0.33,2.1,13,4,1,58.3
50,Female,52.9,19.9,2146.0,0.37,2.4,74,0,1,81.3
18,Female,68.6,14.8,2488.0,0.23,3.4,49,3,2,90.6
36,Male,61.6,21.6,2086.0,0.37,2.9,60,0,3,90.2
19,Female,88.3,22.7,2200.0,0.29,3.9,35,5,2,100.0
61,Male,76.0,22.0,2479.0,0.36,2.1,66,6,1,100.0
43,Male,63.5,25.1,2667.0,0.11,3.7,88,1,2,95.2
49,Male,67.2,19.9,2105.0,0.3,2.2,76,2,2,88.1
23,Male,88.6,19.3,1900.0,0.35,2.1,79,3,2,100.0
49,Female,60.5,21.3,2564.0,0.15,2.7,44,3,2,83.8
21,Male,52.4,21.4,2114.0,0.3,1.7,73,0,1,90.3
28,Female,72.9,32.5,2054.0,0.35,2.5,81,1,3,63.7
34,Female,73.1,30.2,2080.0,0.19,2.4,71,1,2,61.9
55,Female,76.7,17.3,1984.0,0.22,1.9,6,5,2,77.9
41,Female,76.7,16.3,2432.0,0.27,3.7,21,6,3,85.5
22,Female,87.7,23.7,1799.0,0.26,2.5,8,3,3,81.8
51,Male,52.8,31.6,2231.0,0.11,4.0,59,0,3,84.3
23,Male,58.0,26.7,2275.0,0.13,3.7,41,4,1,87.2
39,Male,76.6,23.9,2020.0,0.13,2.0,58,3,3,88.8
28,Male,58.9,22.2,2676.0,0.18,2.8,39,4,2,95.3
33,Female,55.4,28.3,2470.0,0.17,3.0,28,2,1,67.0
50,Male,88.7,24.7,2064.0,0.32,3.5,54,1,3,94.0
26,Female,53.8,30.9,2168.0,0.27,3.7,63,3,1,74.8
23,Female,66.5,17.2,2468.0,0.33,3.1,41,2,3,89.6
33,Male,69.4,25.7,2224.0,0.12,1.6,28,4,1,72.7
46,Male,83.1,21.7,2620.0,0.25,2.7,20,3,2,86.2
20,Male,51.3,25.7,2370.0,0.2,3.7,62,2,1,91.6
37,Male,74.2,25.0,2276.0,0.35,3.3,62,3,3,100.0
53,Female,61.1,26.0,2273.0,0.31,3.7,89,2,1,80.4
36,Female,76.3,27.9,3145.0,0.36,3.2,37,2,2,75.4
43,Male,60.9,29.6,1894.0,0.11,1.6,78,4,2,70.4
20,Female,85.7,31.8,1872.0,0.32,3.9,65,1,2,87.6
36,Female,61.0,24.1,2128.0,0.26,3.8,11,0,2,70.6
37,Female,45.4,21.8,2621.0,0.35,1.8,32,2,1,73.7
49,Male,62.1,19.1,1461.0,0.25,1.8,78,1,2,75.0
24,Female,67.4,25.7,1629.0,0.26,2.8,0,5,2,71.1
58,Male,80.8,27.3,2080.0,0.12,3.4,67,0,3,78.6
50,Male,57.4,18.6,2836.0,0.3,2.5,27,4,2,83.4
57,Female,57.6,28.6,2208.0,0.18,1.8,61,3,2,63.3
56,Female,79.6,23.6,1851.0,0.11,2.8,77,1,2,63.0
35,Male,56.2,19.0,2447.0,0.12,2.3,58,6,3,88.5
57,Female,68.2,20.6,2699.0,0.39,2.4,48,3,1,77.6
18,Female,68.4,20.2,2008.0,0.2,3.1,44,3,1,84.9
28,Male,72.2,20.3,2336.0,0.36,3.7,75,0,2,97.2
45,Male,62.5,26.3,2247.0,0.39,2.9,5,5,2,87.2
42,Male,60.7,27.5,2372.0,0.38,3.2,19,1,2,75.8
40,Male,73.3,30.8,2062.0,0.36,3.1,84,2,2,83.4
48,Female,61.0,21.2,2389.0,0.37,2.9,15,5,1,92.7
47,Female,56.4,25.4,2452.0,0.19,2.3,11,0,1,59.1
59,Male,82.3,21.4,2414.0,0.15,2.4,51,1,1,70.1
52,Male,74.9,24.1,1713.0,0.29,2.3,19,2,2,76.2
24,Male,87.7,18.1,1770.0,0.25,3.8,57,6,3,100.0
33,Female,77.8,19.5,1993.0,0.13,3.6,44,6,2,90.3
43,Male,57.3,27.2,2280.0,0.3,2.9,1,3,3,75.8
19,Female,71.0,18.1,2368.0,0.27,3.8,33,4,1,82.9
18,Male,59.8,26.5,1884.0,0.36,3.7,25,4,1,88.8
29,Male,53.5,21.3,2297.0,0.28,3.8,32,0,1,87.4
22,Male,65.5,16.3,2484.0,0.27,2.1,41,5,2,94.2
54,Female,79.8,13.8,2400.0,0.23,3.3,64,6,1,91.6
49,Female,72.7,29.9,2062.0,0.24,3.0,7,2,2,62.0
26,Female,56.1,16.4,2089.0,0.39,3.3,64,2,1,86.8
58,Male,65.2,23.7,1811.0,0.14,2.2,9,4,2,84.5
52,Female,68.6,25.4,2722.0,0.23,3.2,31,2,2,76.5
36,Female,53.1,18.7,2342.0,0.3,2.5,50,1,1,69.7
33,Male,77.1,21.8,1716.0,0.23,3.6,56,1,2,89.4
20,Male,67.7,25.9,2568.0,0.18,3.5,39,4,2,97.9
37,Female,56.1,25.2,2398.0,0.19,2.0,65,3,1,65.2
41,Female,55.5,22.2,2558.0,0.17,2.0,30,3,3,79.4
50,Female,81.0,24.9,2032.0,0.2,3.3,62,3,2,84.6
41,Female,66.2,23.6,2074.0,0.36,2.9,67,4,1,89.3
28,Male,81.9,20.1,1956.0,0.25,2.9,55,0,2,89.6
25,Male,85.7,28.8,2835.0,0.17,3.4,11,6,1,76.5
53,Male,80.2,24.8,2050.0,0.22,3.6,30,6,3,100.0
55,Female,64.7,16.6,1913.0,0.13,2.1,22,2,2,59.8
57,Female,45.0,26.1,2006.0,0.37,2.9,32,1,2,74.0
37,Male,73.1,21.5,2102.0,0.22,3.6,7,5,1,89.3
52,Male,90.9,22.8,2667.0,0.39,3.7,61,6,3,100.0
42,Female,69.6,24.0,2283.0,0.2,2.2,79,1,1,62.9
52,Female,50.1,20.8,2570.0,0.35,1.8,14,5,2,73.2
42,Male,63.3,31.2,2286.0,0.18,2.1,40,0,2,59.4
46,Male,68.2,18.0,2146.0,0.12,3.9,51,2,2,78.3
35,Male,59.0,24.2,1887.0,0.11,2.7,25,3,3,89.7
63,Female,44.4,25.5,2678.0,0.28,2.5,77,5,3,94.8
35,Female,69.0,24.2,2497.0,0.19,1.5,11,1,1,56.9
19,Female,62.2,23.2,2525.0,0.23,1.6,26,6,2,87.1
52,Female,87.7,22.5,2478.0,0.35,3.2,67,6,1,91.9
33,Female,71.0,20.8,1987.0,0.17,3.0,29,3,2,88.6
58,Female,74.7,20.7,2280.0,0.19,2.9,3,3,2,79.6
53,Male,68.8,28.6,2526.0,0.35,1.8,53,4,2,72.8
50,Male,70.9,22.2,2483.0,0.25,2.4,33,4,2,89.5
21,Female,53.5,32.5,2247.0,0.35,3.5,67,2,2,87.4
50,Male,59.6,26.7,2792.0,0.21,1.9,83,1,2,75.8
31,Female,80.9,13.3,2360.0,0.22,3.7,55,4,2,81.5
38,Male,72.1,27.5,2597.0,0.15,1.8,17,2,1,56.3
37,Female,66.0,23.8,2260.0,0.37,1.9,46,0,2,69.5
25,Male,74.9,18.4,2089.0,0.37,2.7,71,3,1,91.1
24,Male,75.1,29.2,2491.0,0.4,3.9,59,1,2,81.9
20,Female,89.9,22.3,2420.0,0.22,2.3,58,1,2,86.2
34,Female,71.6,21.9,2304.0,0.35,3.1,1,2,1,66.1
50,Male,59.4,25.5,1946.0,0.22,3.0,72,4,1,90.2
29,Male,68.8,28.6,2503.0,0.24,1.9,15,3,2,68.9
39,Female,76.1,24.5,1962.0,0.35,2.1,85,3,2,91.2
39,Male,80.0,24.2,2433.0,0.15,3.8,57,1,2,80.2
63,Female,53.8,21.2,1871.0,0.17,2.0,11,1,2,64.2
47,Female,72.5,28.5,1946.0,0.19,3.2,4,3,2,62.6
55,Male,61.0,24.5,2288.0,0.34,3.9,38,0,2,77.2
55,Female,64.3,23.1,2374.0,0.21,1.8,14,2,2,68.5
62,Male,78.5,22.6,2265.0,0.21,2.5,71,0,2,78.3
25,Male,77.5,28.1,2042.0,0.4,2.1,87,4,2,98.8
44,Female,63.2,23.0,2534.0,0.22,2.1,18,0,2,68.6
44,Male,68.4,28.1,2242.0,0.17,1.8,81,0,2,73.9
51,Female,64.6,22.1,2258.0,0.29,3.1,84,4,2,95.1
38,Female,98.9,26.9,2153.0,0.34,3.4,48,5,2,93.0
47,Female,72.8,24.8,1983.0,0.12,3.2,38,6,2,95.8
50,Male,61.6,20.2,2538.0,0.29,3.8,77,6,1,100.0
45,Female,83.2,23.7,2007.0,0.11,1.9,14,5,2,68.9
64,Male,83.6,15.2,2709.0,0.26,2.3,54,2,2,70.2
50,Female,87.9,21.0,1953.0,0.18,2.4,66,6,1,83.2
22,Female,90.9,17.7,2297.0,0.19,2.1,55,3,2,91.4
36,Female,77.1,32.0,2221.0,0.24,1.9,44,0,2,54.4
21,Male,66.5,17.7,2166.0,0.38,2.7,74,2,1,89.8
52,Male,68.0,34.3,2405.0,0.31,3.6,56,4,1,73.4
34,Female,67.1,26.1,2437.0,0.38,3.9,66,6,1,91.2
61,Female,66.0,21.9,2361.0,0.3,1.8,5,5,2,76.6
45,Male,82.4,27.2,1881.0,0.1,3.6,69,2,1,76.2
47,Male,70.0,21.4,1849.0,0.18,3.6,30,5,2,100.0
46,Male,79.7,18.4,1831.0,0.37,2.5,21,0,2,62.6
63,Female,76.8,24.3,2127.0,0.29,1.8,84,3,2,87.2
23,Male,59.0,26.8,2835.0,0.39,4.0,37,4,3,96.2
52,Female,52.8,29.1,2185.0,0.15,3.1,57,4,3,89.4
58,Male,57.6,26.0,2830.0,0.19,4.0,69,0,2,73.7
54,Female,65.7,21.9,2190.0,0.21,2.7,28,5,1,76.9
41,Female,71.3,29.5,2248.0,0.2,2.5,55,2,1,64.9
46,Female,63.5,28.7,2379.0,0.18,2.1,10,3,3,62.9
63,Male,77.0,25.1,2113.0,0.23,4.0,47,4,1,93.0
48,Male,64.7,28.8,2268.0,0.29,2.1,85,0,3,85.1
52,Male,72.6,32.7,1689.0,0.19,1.6,59,0,2,53.0
50,Female,71.2,21.8,1933.0,0.12,2.8,50,1,1,75.2
38,Female,87.3,20.4,1695.0,0.31,2.4,38,5,3,80.8
49,Male,60.2,21.7,2418.0,0.24,2.2,5,1,3,78.8
40,Female,92.1,18.6,1791.0,0.27,3.1,29,2,2,72.8
50,Female,64.1,26.4,2624.0,0.24,2.4,88,6,2,94.9
20,Female,56.6,17.6,2307.0,0.37,2.5,0,0,2,61.2
35,Male,67.8,29.1,2488.0,0.27,1.6,85,5,2,82.2
42,Female,102.4,21.3,2006.0,0.38,3.0,8,2,2,71.1
59,Male,79.0,29.4,1863.0,0.25,1.8,44,2,2,66.7
48,Male,76.0,13.8,2096.0,0.19,2.0,7,3,1,58.0
20,Male,78.0,22.5,2519.0,0.21,3.3,33,1,1,86.3
57,Male,62.3,18.8,2835.0,0.26,2.3,79,2,1,79.8
63,Male,73.3,29.4,2353.0,0.26,1.9,82,3,2,84.3
41,Female,70.0,30.7,1805.0,0.31,2.9,7,3,2,59.6
49,Male,88.1,14.6,1908.0,0.17,2.0,11,5,1,56.2
64,Male,68.9,27.5,1754.0,0.3,2.2,42,1,2,65.2
39,Male,66.2,28.3,2161.0,0.33,3.1,55,1,1,77.0
40,Female,58.4,25.3,2117.0,0.3,3.3,30,0,2,70.3
19,Female,71.4,26.4,2159.0,0.24,3.3,41,2,3,86.6
44,Female,72.9,26.1,1878.0,0.4,2.7,32,3,3,83.7
59,Female,58.0,27.5,1848.0,0.22,2.6,18,0,3,62.4
19,Male,74.5,19.6,2228.0,0.13,3.5,87,5,2,100.0
43,Male,72.3,28.8,2345.0,0.35,2.0,54,2,2,75.7
34,Female,80.1,24.8,1845.0,0.16,1.9,3,2,3,62.6
57,Female,82.1,24.6,2342.0,0.31,3.2,11,0,1,68.1
50,Female,70.9,26.3,2484.0,0.15,2.5,86,3,3,86.7
26,Female,59.6,18.9,1501.0,0.11,3.3,83,0,2,83.8
60,Male,61.7,17.8,2673.0,0.15,2.1,27,2,2,71.3
56,Female,87.6,23.5,2411.0,0.21,2.3,57,0,2,68.7
46,Female,71.7,30.2,2487.0,0.13,3.7,47,0,2,62.1
59,Female,87.5,19.3,1894.0,0.16,2.6,0,5,3,79.2
43,Female,75.0,24.7,2436.0,0.33,3.0,74,2,1,74.0
52,Female,77.5,21.1,2471.0,0.33,1.8,43,1,2,67.6
42,Female,79.4,20.6,2005.0,0.35,1.9,62,5,2,81.1
41,Female,57.8,26.0,2434.0,0.35,1.6,37,6,2,80.0
30,Male,73.1,27.0,2159.0,0.23,2.6,8,3,2,74.1
24,Male,57.6,20.8,2015.0,0.36,4.0,5,2,3,95.4
53,Male,67.2,29.5,2141.0,0.26,3.7,69,5,2,88.1
